state_code,text,district_code
1,JAMMU,5
1,BARAMULLA,3
1,ANANTNAG,1
1,SRINAGAR,13
1,BADGAM,2
1,KUPWARA,8
1,RAJAURI,12
1,PULWAMA,11
1,UDHAMPUR,14
1,KATHUA,7
1,KULGAM,622
1,POONCH,10
1,BANDIPORA,623
1,DODA,4
1,SHOPIAN,625
1,RAMBAN,621
1,REASI,627
1,SAMBA,624
1,GANDERBAL,626
1,KISHTWAR,620
1,KARGIL,6
1,LEH LADAKH,9
2,KANGRA,18
2,MANDI,22
2,HAMIRPUR,17
2,KULLU,20
2,SIRMAUR,24
2,UNA,26
2,SHIMLA,23
2,CHAMBA,16
2,SOLAN,25
2,BILASPUR,15
2,LAHUL AND SPITI,21
2,KINNAUR,19
3,LUDHIANA,36
3,JALANDHAR,34
3,GURDASPUR,32
3,PATIALA,41
3,SANGRUR,43
3,AMRITSAR,27
3,HOSHIARPUR,33
3,BATHINDA,28
3,MANSA,37
3,SRI MUKTSAR SAHIB,39
3,Tarn Taran,609
3,FIROZEPUR,31
3,KAPURTHALA,35
3,BARNALA,605
3,S.A.S Nagar,608
3,FAZILKA,651
3,MOGA,38
3,Shahid Bhagat Singh Nagar,40
3,FATEHGARH SAHIB,30
3,RUPNAGAR,42
3,PATHANKOT,662
3,FARIDKOT,29
4,CHANDIGARH,44
5,HARIDWAR,50
5,DEHRADUN,49
5,UDAM SINGH NAGAR,56
5,NAINITAL,51
5,PAURI GARHWAL,52
5,TEHRI GARHWAL,55
5,PITHORAGARH,53
5,ALMORA,45
5,CHAMOLI,47
5,CHAMPAWAT,48
5,UTTAR KASHI,57
5,BAGESHWAR,46
5,RUDRA PRAYAG,54
6,HISAR,63
6,KARNAL,67
6,YAMUNANAGAR,76
6,PANIPAT,71
6,SONIPAT,75
6,BHIWANI,59
6,JIND,65
6,SIRSA,74
6,KURUKSHETRA,68
6,FARIDABAD,60
6,KAITHAL,66
6,MAHENDRAGARH,69
6,AMBALA,58
6,REWARI,72
6,PALWAL,619
6,FATEHABAD,61
6,ROHTAK,73
6,JHAJJAR,64
6,MEWAT,604
6,GURUGRAM,62
6,CHARKI DADRI,701
6,PANCHKULA,70
8,Jaipur,102
8,Jaipur Gramin,783
8,Udaipur,117
8,Banswara,88
8,Churu,96
8,Nagaur,110
8,Alwar,87
8,Dungarpur,99
8,Bikaner,93
8,Sikar,114
8,Dausa,97
8,Didwana Kuchaman,768
8,Jodhpur Gramin,778
8,Barmer,90
8,Hanumangarh,101
8,Chittorgarh,95
8,Jhunjhunu,106
8,Neem Ka Thana,773
8,Baran,89
8,Pali,111
8,Jhalawar,105
8,Tonk,116
8,Bhilwara,92
8,Kotputli-Behror,782
8,Bharatpur,91
8,Rajsamand,112
8,Balotra,775
8,Dholpur,98
8,Kota,109
8,Jalore,104
8,Beawar,774
8,Ajmer,86
8,Sirohi,115
8,Sri Ganganagar,100
8,Bundi,94
8,Deeg,767
8,Pratapgarh,629
8,Karauli,108
8,Khairthal-Tijara,770
8,Sanchor,779
8,Salumbar,777
8,Sawai Madhopur,113
8,Gangapurcity,771
8,Shahpura,780
8,Anoopgarh,776
8,Phalodi,772
8,Kekri,781
8,Jaisalmer,103
8,Dudu,769
8,Jodhpur,107
9,HARDOI,150
9,SITAPUR,183
9,SAHARANPUR,177
9,ALIGARH,119
9,JAUNPUR,152
9,AZAMGARH,123
9,VARANASI,187
9,MORADABAD,171
9,BAREILLY,130
9,Prayagraj,120
9,GORAKHPUR,148
9,BIJNOR,132
9,PRATAPGARH,174
9,UNNAO,186
9,AGRA,118
9,KUSHI NAGAR,160
9,BAHRAICH,125
9,KHERI,159
9,BARABANKI,129
9,BULANDSHAHR,134
9,BALLIA,126
9,GONDA,147
9,RAE BARELI,175
9,AMBEDKAR NAGAR,121
9,MAHARAJGANJ,164
9,GHAZIPUR,146
9,MEERUT,169
9,KANPUR NAGAR,157
